Sample.id,Continent,type,AON,NR,NOA,NF,M,lat,dem,soc,clay,nitrogen,ph,variance,entropy,NDVImax,Nppmax,ref,LWR,MAT,TDR,TWQ
ERR4660996,Africa,Forest,40.20047417,155.9021956,888.6442055,279.9771851,1599.59442,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4660997,Africa,Forest,24.29959184,118.805277,846.8091509,270.3148963,1479.113784,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4660998,Africa,Forest,35.70725177,174.2304056,876.6739349,291.991938,1597.289589,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4660999,Africa,Forest,12.97393824,109.0511655,856.7253693,268.3268432,1539.102127,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661000,Africa,Forest,21.07025089,89.29191002,884.0638149,299.3996941,1543.680328,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661001,Africa,Forest,23.86221385,108.259774,869.7956812,286.8004229,1532.23173,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661002,Africa,Forest,25.22912129,105.5907416,821.978369,277.0927716,1511.943494,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661003,Africa,Forest,23.74652962,103.4317085,884.1659979,292.2214591,1546.774965,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661004,Africa,Forest,41.95306091,145.6472197,947.9107359,290.6588229,1489.849037,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661005,Africa,Forest,46.65799366,154.7474031,892.840849,257.2121929,1440.693756,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661006,Africa,Forest,48.21660053,173.7495498,1277.7833,326.9195662,2302.313134,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661007,Africa,Forest,42.99436632,153.6369475,1071.446494,278.1700205,1639.956968,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661008,Africa,Forest,25.08050952,144.6682828,931.5736558,287.5914693,1608.116062,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661009,Africa,Forest,18.36305172,132.6464301,891.3145323,261.9338594,1599.604791,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661010,Africa,Forest,32.28873999,137.7567199,943.5443599,266.3140789,1624.19119,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661011,Africa,Forest,21.18412132,138.452645,933.7539897,258.0586251,1551.565909,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661012,Africa,Forest,57.71030975,329.962454,985.3227927,322.9810194,1659.107351,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661013,Africa,Forest,57.94490997,347.2507916,1013.263228,316.5224364,1667.346466,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661014,Africa,Forest,70.71080616,353.5378595,1003.186679,301.1675256,1684.69648,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
ERR4661015,Africa,Forest,60.71438376,342.0472695,1031.028056,298.5996326,1673.848585,-3.076,12.027314,0.6945667,0.18882795,0.4412644,-0.6373345,-0.4952752,-1.244499,-0.34923413,-0.12097294,-0.61536366,1.0416452,0.054711588,0.36188754,-0.4317076
GM1_EDME210000094,Europe,Forest,37.78112601,148.7743429,1245.538112,259.1371606,1803.109133,52.4642,-0.1824199,0.041552704,-2.1491942,0.44342342,-1.2771475,0.23410447,0.72897124,2.5832672,0.5449706,-1.1301357,-0.87770414,0.55146396,0.046985243,-0.8015303
GM2_EDME210000095,Europe,Wetland,68.85890683,391.7856367,1298.15207,366.3018888,1952.461917,52.47,-0.1824199,0.041552704,-2.1491942,0.44342342,-1.2771475,0.23410447,0.72897124,2.5832672,0.5449706,-1.1301357,-0.87770414,0.55146396,0.046985243,-0.8015303
rice1,Asia,Agricultural land,141.2647413,565.4350989,1704.768986,461.3719839,1951.343803,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice100,Asia,Agricultural land,158.861389,530.4394412,1456.638521,342.6357358,1809.328309,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice101,Asia,Agricultural land,171.6088105,549.850272,1539.80488,364.409525,1832.387858,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice102,Asia,Agricultural land,153.911065,513.0080631,1480.807256,366.6916696,1813.457915,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice103,Asia,Agricultural land,154.0304797,509.5057739,1461.670601,355.594855,1832.275981,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice104,Asia,Agricultural land,175.8473531,599.4709574,1536.228058,387.9397145,1852.030609,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice105,Asia,Agricultural land,155.9861477,520.5660602,1484.287419,348.094072,1769.698783,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice121,Asia,Agricultural land,133.7461095,497.0769753,1461.682335,378.9856681,1779.15271,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice122,Asia,Agricultural land,129.482796,454.6544925,1368.428096,359.3897502,1724.588675,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice123,Asia,Agricultural land,153.3884212,474.3775258,1340.855438,340.4817436,1724.154532,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice124,Asia,Agricultural land,164.9758402,605.4404688,1567.203328,403.5972559,1816.30196,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice125,Asia,Agricultural land,163.1259941,492.562914,1372.673766,345.485229,1738.656472,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice126,Asia,Agricultural land,158.0443387,559.3977473,1634.748682,405.03655,1801.468538,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice127,Asia,Agricultural land,153.6311643,541.9928773,1586.392682,388.4721378,1796.578736,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice128,Asia,Agricultural land,153.7264036,542.7380287,1600.223803,398.5132264,1779.346351,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice129,Asia,Agricultural land,163.0980786,590.1067439,1607.639667,385.0207488,1839.775031,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice130,Asia,Agricultural land,154.7293298,556.14862,1569.137099,397.5532548,1796.608326,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice131,Asia,Agricultural land,152.6757806,545.4722395,1595.12536,406.7875779,1808.062493,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice132,Asia,Agricultural land,146.425625,514.3705225,1546.845955,378.7646298,1775.74039,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice133,Asia,Agricultural land,128.8548329,460.218435,1294.925617,337.8463343,1731.26441,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice134,Asia,Agricultural land,163.4632534,591.9767752,1548.122666,404.7659874,1795.009089,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice135,Asia,Agricultural land,156.4811562,583.659851,737.7272497,86.58323115,1793.987719,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice136,Asia,Agricultural land,144.2278999,547.1821516,1215.449538,269.4537033,1753.964922,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice137,Asia,Agricultural land,144.7163254,475.8773721,1416.774069,370.4935856,1724.503621,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice138,Asia,Agricultural land,138.8392277,507.4456337,1436.912284,378.949026,1790.043776,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice139,Asia,Agricultural land,138.1854161,496.1874168,1451.305092,455.0501696,1458.740045,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice140,Asia,Agricultural land,115.5217249,437.8669618,1305.017639,335.689673,1736.772704,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice17,Asia,Agricultural land,139.193615,517.8982227,1557.166893,379.1390452,1820.312886,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice18,Asia,Agricultural land,139.1075514,523.5525406,1479.713857,339.4605511,1823.378894,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice19,Asia,Agricultural land,159.7253105,605.2826989,1597.461229,369.3574238,1886.991524,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice2,Asia,Agricultural land,140.6603359,561.4673528,1681.444729,413.3081309,1923.905969,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice20,Asia,Agricultural land,178.8601381,567.195036,1578.723384,371.2278121,1809.289363,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice21,Asia,Agricultural land,159.8411585,540.7962512,1548.886118,345.5944547,1819.37516,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice23,Asia,Agricultural land,172.3970671,545.6402208,1531.880217,337.6533364,1792.513185,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice24,Asia,Agricultural land,147.972153,521.7143732,1505.010579,344.9683352,1839.228382,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice25,Asia,Agricultural land,145.3850947,475.6823311,1450.562451,352.4774135,1775.207575,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice26,Asia,Agricultural land,161.9908249,511.4272813,1428.218015,413.7503588,1833.744147,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice27,Asia,Agricultural land,169.8620332,537.0458531,1513.33983,340.4965986,1836.567239,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice3,Asia,Agricultural land,143.5457999,581.2648505,1664.343933,406.7656672,1935.728323,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice39,Asia,Agricultural land,148.0447643,575.5843464,1631.818943,420.7947094,1871.354747,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice4,Asia,Agricultural land,149.8549316,566.8276583,1650.582657,399.6670951,1899.674021,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice40,Asia,Agricultural land,154.5441305,550.814236,1631.88413,395.1351838,1867.014511,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice41,Asia,Agricultural land,144.3628141,566.203376,1637.918148,390.6567395,1932.268673,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice42,Asia,Agricultural land,161.0484444,610.7417585,1695.864898,416.6696085,1917.59046,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice43,Asia,Agricultural land,162.9981428,604.8812743,1709.677848,407.4765765,1908.944671,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice5,Asia,Agricultural land,150.036925,548.5751118,1571.123745,397.1216729,1757.037812,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice96,Asia,Agricultural land,173.2582838,540.1037805,1523.753211,347.1861398,1776.157346,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice97,Asia,Agricultural land,162.7845846,528.2266731,1563.339845,365.998969,1819.602093,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice98,Asia,Agricultural land,159.9217866,516.5855879,1462.370194,342.5600373,1803.702325,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
rice99,Asia,Agricultural land,146.6320714,594.546488,1615.642199,403.9458458,1888.715799,29.15555556,-0.2236432,-0.72387826,1.1560881,-0.7945023,-0.051022578,0.18695463,0.56752366,1.9243813,1.7124469,-0.9821997,0.4992408,0.893456,-0.57134235,0.97301877
S1,Asia,Agricultural land,69.92778135,344.4278755,1240.372542,378.8205569,1855.71159,34.76777778,0.8154989,-0.71976906,-1.1386434,-1.0508635,-1.2698965,0.22681707,0.7165928,1.1336514,0.31635883,-0.88387537,0.4071384,0.7255899,0.41416278,0.84836507
s1_FDMS190655335,Asia,Agricultural land,182.2502906,617.0425244,1442.710989,331.0702289,1813.350856,30.18194444,-0.29030713,-0.5888493,0.6714404,-0.2754085,0.23517036,1.8053672,0.7703702,1.4775755,1.7079588,-0.96325934,0.47777608,0.8528862,-0.8115806,0.938723
S10,Asia,Wetland,118.8753102,571.19514,1500.741636,402.0823549,1886.471418,34.64333333,0.10482547,-0.67980736,-0.19538757,-0.7941786,0.689745,-0.08783823,0.6253917,2.1498644,1.1690487,-0.9902761,0.40706512,0.7477566,0.20471415,0.8749201
S107,Asia,Forest,21.5599499,117.0898565,1056.29615,284.6651415,1651.947222,22.43416667,-0.23181082,-0.4682008,0.37406763,-0.23622967,-1.0125165,0.017559981,0.6246572,1.8924999,1.2512635,-1.0266296,0.6752031,1.0812411,-1.3079882,1.0031935
S109,Asia,Agricultural land,33.22292724,142.3047856,1187.081181,304.1922726,1760.278674,25.21662222,0.17608169,-0.51003855,1.440944,-0.40204167,-0.43675563,0.010486455,0.6912461,2.2547653,2.1122813,-1.0706424,0.2138957,0.9524243,-0.8730211,0.9734794
S11,Asia,Agricultural land,112.4527147,528.0340447,1469.125122,355.7116858,1892.189185,34.55472222,0.28088224,-0.7431431,-0.11466141,-0.8111758,1.0883467,-0.07563321,0.76403546,1.8121254,1.138595,-0.9405929,0.40701827,0.74341226,0.24465804,0.8668292
s11_FDMS190655341,Asia,Agricultural land,148.407036,655.9957443,1569.628433,418.0400257,1835.169457,30.18194444,-0.29030713,-0.5888493,0.6714404,-0.2754085,0.23517036,1.8053672,0.7703702,1.4775755,1.7079588,-0.96325934,0.47777608,0.8528862,-0.8115806,0.938723
S112,Asia,Agricultural land,161.0427879,637.4565924,1457.416045,290.8078762,1795.717809,25.07,0.030470958,-0.6159923,1.2672651,-0.5743729,-0.25137424,0.029357215,0.7252933,2.1247413,1.4018029,-0.9936716,0.21917713,0.9688801,-0.76339525,0.98973995
S113,Asia,Wetland,167.924165,682.6649712,1683.419301,479.7322479,1856.162301,25.07333333,0.05483327,-0.61452454,1.6416589,-0.56437796,-0.3320106,0.2447314,0.6758984,2.2268233,2.0833812,-1.0226493,0.21841897,0.9679734,-0.7413629,0.98945165
S114,Asia,Agricultural land,183.8182953,689.5119074,1543.279816,384.8457351,1732.746541,25.06888889,0.023513231,-0.6215178,1.5483351,-0.60094976,-0.25068438,-0.011217253,0.6391782,2.1162128,1.7025071,-0.9679585,0.2185396,0.9691099,-0.7659368,0.99009186
S118,Asia,Forest,255.6438539,914.4018337,2059.143907,366.5834286,1922.121715,24.20194444,-0.07959718,-0.6995537,0.747672,-0.75676024,-0.40915522,-0.11834672,0.61628264,2.0589051,2.9760516,-1.0008647,0.23179945,1.0186058,-0.7485326,1.0087599
S12,Asia,Agricultural land,151.6680312,636.3275213,1545.798264,349.0957889,1964.737189,34.46194444,0.07103329,-0.7648583,-0.09386041,-0.94880086,1.1520681,0.5969563,0.85527796,1.8631829,1.1319238,-0.9483228,0.40693906,0.76179546,0.24240024,0.8920023
s12_FDMS190655342,Asia,Agricultural land,204.2953659,650.7331262,1459.032439,325.4633146,1786.484562,30.18194444,-0.29030713,-0.5888493,0.6714404,-0.2754085,0.23517036,1.8053672,0.7703702,1.4775755,1.7079588,-0.96325934,0.47777608,0.8528862,-0.8115806,0.938723
S120,Asia,Grassland,121.0542148,568.7926411,1437.632812,410.1917681,1751.38987,24.10416667,0.31000027,-0.4386159,0.41846117,-0.51764387,-0.5377911,0.1932715,0.5256406,2.3333788,2.2539067,-1.0664865,0.23581125,0.9902675,-0.8562542,0.9664143
S121,Asia,Agricultural land,81.27874393,471.807251,1291.691753,338.9853314,1786.563878,24.28361111,0.000519342,-0.53355855,1.0286111,-0.5752709,-0.57186306,1.5762352,0.9029436,2.1369803,0.1543678,-1.036201,0.22930966,1.0204282,-0.8083529,1.0124552
S122,Asia,Agricultural land,228.3747716,751.7165453,1834.072387,410.7584348,1813.996645,22.97777778,-0.03300566,-0.5942888,1.0418444,-0.5721198,-0.5853549,-0.3753758,0.37428457,2.328686,2.3411353,-1.0503998,0.30170274,1.0407906,-0.8962143,0.99011993
S126,Asia,Agricultural land,191.0457403,786.1921318,1627.619136,268.5552792,1961.289268,22.92444444,-0.12774312,-0.6784267,0.6307334,-0.69121677,-0.39937866,0.092713624,0.6930778,2.0070498,2.0952744,-0.98650736,0.30556482,1.0527599,-0.8128945,1.005701
