Sample.id,Continent,type,Ammonium oxidation to nitrate,Nitrogen removal,Nitrate reduction to ammonium,Nitrogen fixation,Mineralization
SRR3401986,North America,Wetland,54.94139366,262.7667143,2093.160307,537.5659709,2181.717898
SRR3401989,North America,Wetland,67.96876074,308.6493293,1952.798177,473.2868567,1939.586649
SRR3401991,North America,Wetland,68.93250071,319.7296165,2172.197442,528.0467996,2211.06926
SRR3401994,North America,Wetland,77.69913636,339.7834284,2083.948372,482.1358916,2306.135867
SRR3402036,North America,Wetland,21.07826474,125.9517778,2762.498908,504.7963093,3152.172988
SRR3402044,North America,Wetland,70.13864279,415.5301567,1008.779894,331.5273733,1564.54026
SRR3402046,North America,Wetland,63.49342116,420.0616637,1015.580333,339.0621196,1588.648435
SRR3402048,North America,Wetland,54.35425372,422.5455918,1002.924392,321.0474516,1526.247362
SRR350471,North America,Agricultural land,68.02685712,303.5810679,401.3790573,25.18225073,790.4661506
SRR350474,North America,Agricultural land,68.53198918,363.3620771,628.015732,123.3050318,1204.21904
SRR350500,North America,Agricultural land,59.29697951,316.904063,480.1949333,27.98652051,834.9109711
SRR350513,North America,Agricultural land,123.7591562,224.6819442,333.0050003,23.22822573,737.2465107
SRR350639,North America,Agricultural land,61.40298725,378.8943639,741.6847079,172.8912275,1338.691197
SRR350640,North America,Agricultural land,47.1490397,321.9933126,666.1155505,142.6831332,1187.897609
SRR350641,North America,Agricultural land,122.5260321,362.2339973,259.7351687,9.436942385,589.5940413
SRR350692,North America,Grassland,6.52251679,90.39666726,200.3848845,13.01422115,578.7374693
SRR350919,North America,Agricultural land,111.1696379,411.0829781,435.8999589,21.76383571,728.7079446
SRR350921,North America,Agricultural land,92.71376398,412.1010657,472.3905569,26.58203512,805.1798261
SRR350970,North America,Agricultural land,82.24776518,244.1760005,353.3966802,29.96322271,724.0649135
SRR351473,North America,Agricultural land,88.91653931,285.7389885,274.0697317,10.34702561,431.4075739
SRR351474,North America,Agricultural land,87.50950614,266.8875453,249.8155411,8.37895007,398.611382
SRR352287,North America,Grassland,0.59932062,25.10162369,38.34182684,1.930296843,144.567869
SRR3592108,Australia,Agricultural land,131.1780066,381.5550918,1110.554385,222.2985423,1662.359354
SRR3601981,Australia,Agricultural land,100.8422811,414.2270629,1213.812968,258.7154319,1788.156773
SRR3601982,Australia,Agricultural land,86.24577098,350.5901513,1045.571013,242.0114753,1698.430847
SRR3601984,Australia,Agricultural land,110.3964709,408.1622305,1144.761113,218.5186214,1670.42708
SRR3659419,North America,Forest,0,0,0,0.041844245,0.106017141
SRR3712179,Africa,Grassland,39.24225937,187.8545272,1310.891594,798.473111,2232.404159
SRR3712206,Africa,Grassland,20.20475784,131.0450444,937.9055017,825.3829637,2010.782419
SRR3712207,Africa,Grassland,23.71592779,140.043301,1025.452202,827.4121587,2101.319258
SRR3712209,Africa,Grassland,45.88359351,184.2353433,1197.702085,790.0272186,2154.765293
SRR3712211,Africa,Grassland,55.61131163,413.1150353,1370.192558,568.1103582,2199.772499
SRR3747750,North America,Agricultural land,130.8788394,998.8219474,2034.560862,91.40550151,2671.773548
SRR3747798,North America,Agricultural land,147.8315252,981.0876482,2307.832813,38.93147961,2574.186782
SRR3747811,North America,Agricultural land,162.5808602,1156.644975,2102.070927,73.29899508,2875.097008
SRR3747812,North America,Agricultural land,106.5627948,836.1799099,1879.428226,72.09916366,2486.557356
SRR3747847,North America,Agricultural land,131.9399918,977.8732871,2025.106495,46.46860795,1874.185086
SRR3954470,North America,Grassland,14.517207,131.5603685,779.6426793,215.5102692,1449.028646
SRR3954471,North America,Grassland,14.14297686,129.4217242,776.2566101,214.5802842,1451.938649
SRR3954472,North America,Grassland,14.75446869,133.5214516,758.7901291,207.0908149,1424.407655
SRR3954473,North America,Grassland,14.36735028,131.6212523,763.2256172,208.8409372,1433.68789
SRR3954474,North America,Grassland,15.49209485,130.9096971,761.5846586,208.5484674,1428.257068
SRR3969602,North America,Agricultural land,311.8889438,653.9767629,1011.915761,145.9672832,1333.135085
SRR3969907,North America,Agricultural land,323.4445317,668.8716027,1102.96234,182.6734081,1425.17898
SRR3970034,North America,Agricultural land,329.0524595,725.6022011,1133.019601,173.9121404,1382.258077
SRR3970040,North America,Forest,292.6547286,636.2262848,899.7519086,117.9171586,1128.856597
SRR3971189,North America,Agricultural land,305.5696122,639.8848517,900.8907875,112.1517625,1128.837362
SRR3972132,North America,Agricultural land,373.5284592,772.169327,1013.83809,122.2409734,1245.06531
SRR3972141,North America,Agricultural land,379.0387229,757.8796984,1133.427295,177.7395069,1366.672783
SRR3972149,North America,Agricultural land,385.8991233,786.9535475,1068.167181,133.5246966,1300.68224
SRR3972293,North America,Forest,103.855098,385.7117606,867.8724379,373.6078648,1155.811268
SRR3973802,North America,Forest,113.0646864,388.7521673,866.238937,305.3536025,1094.215174
SRR3974375,North America,Forest,121.0552196,442.7110571,975.8213217,381.7998783,1232.195466
SRR3974376,North America,Forest,109.8324899,334.935714,859.5595971,225.0951617,1301.504817
SRR3974377,North America,Forest,89.55079755,254.0712878,601.5882721,147.2653844,949.4203501
SRR3974390,North America,Forest,110.3973704,324.6219488,837.1719605,211.6944194,1276.530535
SRR3975574,North America,Forest,115.9672222,347.7434103,890.1208335,225.5531547,1326.566976
SRR3975575,North America,Forest,117.0193983,331.446062,844.5428504,213.2894025,1242.7036
SRR3975576,North America,Forest,110.6587345,306.5303722,767.4791592,195.4386227,1145.356782
SRR3975577,North America,Forest,107.1621045,305.6559548,755.6188747,200.7058277,1093.649353
SRR3977090,North America,Forest,7.398583398,49.8769118,712.4509675,139.1539944,1445.032952
SRR3977097,North America,Forest,2.749518786,45.34165243,541.006759,72.98666797,1273.690265
SRR3977098,North America,Forest,3.176861945,58.94604723,747.3343297,131.6412612,1545.739591
SRR3977124,North America,Forest,5.671419498,40.22264001,507.7601552,89.12717428,1179.261801
SRR3977125,North America,Forest,8.334323544,51.93460769,710.6770704,143.6478059,1471.19074
SRR3977135,North America,Forest,9.783868841,52.66908911,495.9402199,83.42146637,1218.068163
SRR3977136,North America,Forest,9.941677828,73.62871437,702.9912045,166.0278391,1583.17589
SRR3977137,North America,Forest,115.9250122,345.4707364,877.5654688,240.7785832,1230.993236
SRR3977138,North America,Forest,108.9328062,329.2162816,845.8193543,231.7399737,1240.129638
SRR3977139,North America,Forest,8.295150906,76.79437229,670.0819571,150.0863479,1516.289652
SRR3977438,North America,Forest,6.575006358,42.95406172,538.4384525,79.3595066,1198.083486
SRR3977439,North America,Forest,8.398833727,50.66313577,659.8538014,119.3217697,1375.630489
SRR3978320,North America,Forest,3.411828156,29.92463398,558.8417094,82.84877165,1191.035928
SRR3978321,North America,Forest,2.949237685,37.81459308,676.5207677,123.8055451,1366.604303
SRR3978361,North America,Forest,13.26326744,53.8030282,577.5973319,117.5500016,1218.109965
SRR3978390,North America,Forest,14.56028637,76.68961891,798.5752265,183.8326544,1582.954234
SRR3979409,North America,Forest,9.308583219,59.05139165,514.4844138,93.23096404,1263.464412
SRR3979410,North America,Forest,10.22609925,71.09085803,687.6808369,151.970811,1517.347048
SRR3979411,North America,Forest,7.015833991,49.53847357,500.1975452,84.93455923,1218.309586
SRR3979412,North America,Forest,4.861883232,57.98575412,729.4217175,163.1070691,1571.215805
SRR3979413,North America,Forest,9.309180247,64.39118149,527.1666158,91.85261614,1297.33338
SRR3979414,North America,Forest,6.240066611,71.64796157,666.1616703,149.8836571,1479.175467
SRR3979453,North America,Forest,3.633172189,30.5730581,547.7576486,84.3630565,1163.789956
SRR3979454,North America,Forest,4.037616956,34.75044388,650.6489432,130.5595303,1342.649139
SRR3979490,North America,Forest,2.624581792,42.94558084,543.1740337,75.29511287,1270.625484
SRR3979491,North America,Forest,3.136635038,55.76820314,692.8968191,126.3551856,1496.626202
SRR3979977,North America,Forest,2.529670823,28.70547108,504.6338168,78.6054163,1162.832759
SRR3979978,North America,Forest,3.694494944,41.58724627,637.2275382,126.575435,1360.21346
SRR3981081,North America,Forest,6.275786951,43.06197162,501.3416989,78.27206584,1230.66213
SRR3981082,North America,Forest,5.314925177,61.50232681,732.9825707,156.847228,1573.932539
SRR3981189,North America,Forest,2.587030344,39.65945671,565.6644153,72.27055078,1293.9763
SRR3981190,North America,Forest,2.850024635,48.41965494,705.647336,115.821118,1494.947174
SRR3982067,North America,Forest,7.952445304,69.17464685,559.940732,84.35259887,1337.319832
SRR3982068,North America,Forest,7.19691037,67.71175058,692.0833272,145.4138491,1513.982539
SRR3982074,North America,Forest,5.290931493,46.88376418,555.8636381,81.66890348,1297.973598
SRR3982075,North America,Forest,5.196882507,59.70724946,691.6018467,130.4345562,1505.423802
SRR3982751,North America,Forest,22.42627291,160.9208722,747.5443395,189.7608405,1437.963426
SRR3984885,North America,Forest,2.502604787,37.33312815,585.3821636,149.2143578,1273.823028
SRR3984893,North America,Forest,6.964191395,68.38266356,560.8947196,114.2141198,1248.161383
SRR3984957,North America,Forest,2.868958127,34.88767271,605.9736647,143.2715899,1286.470493
SRR3988231,North America,Agricultural land,39.0979734,333.1277349,804.8961245,151.2743754,1364.592316
SRR3988262,North America,Agricultural land,38.58293468,340.151444,810.1284242,157.2498589,1379.591802
SRR3988263,North America,Agricultural land,41.16375879,375.892469,953.2796679,260.5642504,1585.315165
SRR3988264,North America,Agricultural land,36.34919204,287.5592972,617.3646695,53.0478473,1046.668066
SRR3988265,North America,Agricultural land,40.8057859,336.3141049,796.9888777,129.3950209,1325.150201
SRR3988621,North America,Forest,67.31972732,441.2349735,1019.815424,300.2191166,1661.580152
SRR3988622,North America,Forest,71.1559889,427.7337835,984.3775057,277.6865493,1577.617861
SRR3988820,North America,Forest,80.29871263,511.8220206,1082.653574,258.3663435,1659.13092
SRR3988821,North America,Forest,75.88299575,467.891046,988.548689,226.2362021,1515.716722
SRR3988822,North America,Forest,50.98231813,395.1133508,971.3687439,267.1810214,1564.518125
SRR3988823,North America,Forest,85.52631874,469.7144906,995.0344825,241.1483829,1546.39401
SRR3988824,North America,Forest,103.2264051,558.2642645,1051.481853,254.4541012,1679.346048
SRR3988825,North America,Forest,50.72253386,345.0191628,884.8509588,269.8411423,1501.66512
SRR3988826,North America,Forest,57.65380117,380.3517122,965.2143446,277.9835745,1567.140758
SRR3988827,North America,Forest,69.55077205,385.3123984,876.956048,261.2108188,1513.681986
SRR3988828,North America,Forest,67.45123422,414.5762186,921.2007923,264.4942027,1554.01283
SRR3988829,North America,Forest,50.4351478,398.7050058,976.6928195,289.4844513,1517.35768
SRR3988830,North America,Forest,49.58894813,379.4087298,910.0085698,277.8928162,1500.070409
SRR3988831,North America,Forest,59.81936274,376.2496886,920.7975394,248.7466975,1520.13217
SRR3988832,North America,Forest,61.3988292,365.0230335,842.2649835,275.3392264,1475.847531
SRR3988833,North America,Forest,52.47564728,341.7745835,804.2386829,283.8886647,1439.999175
SRR3988834,North America,Forest,79.07134262,412.3163855,900.1622031,247.5752031,1521.600921
SRR3988835,North America,Forest,58.95428434,371.4712464,863.1388293,282.5745566,1521.139805
SRR3988836,North America,Forest,55.18123955,369.0903588,879.2573539,278.2114632,1444.029412
SRR3988837,North America,Forest,63.23430419,334.308924,796.0539771,260.6098093,1418.999086
SRR3988838,North America,Forest,56.93372566,393.6371673,1000.750436,271.5287226,1606.91339
SRR3988839,North America,Forest,53.65198101,355.9292917,901.5288658,274.6098828,1516.573461
SRR3988840,North America,Forest,56.15874514,370.0007177,919.8022141,252.7216083,1522.548098
SRR3988841,North America,Forest,46.95540068,332.0937805,865.6951041,271.7308034,1452.78629
SRR3988842,North America,Forest,78.31320059,403.9648133,889.0080683,245.7849127,1513.456895
SRR3988843,North America,Forest,54.8257644,365.9371914,809.8656492,255.6408901,1443.881663
SRR3988844,North America,Forest,59.2817905,366.4488479,876.4419599,254.6977439,1521.221773
SRR3988845,North America,Forest,53.18984199,345.5829065,860.4165642,252.1107302,1481.526173
SRR3988846,North America,Forest,50.25949041,333.5377319,815.9181319,266.0521932,1429.184046
SRR3988847,North America,Forest,50.1529014,365.677331,848.0503117,256.5477239,1440.858896
SRR3988848,North America,Forest,51.35093941,361.8990408,854.6092321,262.7910107,1533.062617
SRR3989293,North America,Agricultural land,347.2829626,781.7738835,1368.674889,266.3044488,1706.24877
SRR3989295,North America,Agricultural land,376.7877889,776.4923251,1282.610604,228.6456825,1607.961992
SRR3989296,North America,Agricultural land,346.5653649,792.4978619,1371.308438,263.960784,1705.615817
SRR3989297,North America,Agricultural land,365.5587378,718.9336454,1089.522082,164.9577162,1311.670922
SRR3989304,North America,Agricultural land,378.2426551,767.9459684,1017.077971,120.3541195,1243.575179
SRR3989306,North America,Forest,363.6537371,725.485705,1106.159026,169.1880996,1330.01006
SRR3989307,North America,Agricultural land,452.5397083,907.6170034,1460.904852,225.8864669,1642.438483
