Sample.id,lat,lon,biomass,bdod,cec,cfv,clay,nitrogen,ocd,ph,sand,silt,soc,bio20,bio21,bio22,bio23,bio24,bio25,bio26,bio27,contrast,correlation,cv,dem,dissimilarity,eastness,entropy,evaporation,evenness,EVImax,EVImean,Gppmax,Gppmean,homogeneity,maximum,ref,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,NDVImax,NDVImean,northness,Nppmax,Nppmean,ocs,range,shannon,simpson,std,uniformity,variance,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
SRR4027117,39.211666,-96.594768,-0.22429977,1.2317072,-0.09379392,-1.6005801,1.477398,-0.55297065,-0.057229653,0.87463623,-2.4466045,2.2060194,-0.6224718,0.22434299,0.55343586,-0.05690497,-0.22536986,1.1969324,-0.70090044,0.649201,-0.09399504,0.28116676,0.19338943,0.014300761,0.41083738,0.60341376,0.7356533,0.70587605,0.18307687,0.47901896,0.5208799,0.64381,-0.23130302,NA,-0.7246974,-0.6126103,-0.85879827,-0.6737455,-0.88587505,-0.86286044,-0.08450791,0.640853,0.44800332,1.8628613,0.44801486,-0.49324712,1.3353934,NA,0.32620832,0.79122776,0.7321917,0.6228523,0.67667836,-0.50852776,0.29615584,0.6867859,0.85484064,0.51084375,0.556909,0.42659143,0.24334529,-0.5316156,0.47525918,0.19699778,0.9362872,-0.18785271,0.92990637,-0.1628663,0.31550142,0.87886924,0.45374188,0.6062301,0.82232183,0.22012573
SRR4027118,39.211666,-96.594768,-0.22429977,1.2317072,-0.09379392,-1.6005801,1.477398,-0.55297065,-0.057229653,0.87463623,-2.4466045,2.2060194,-0.6224718,0.22434299,0.55343586,-0.05690497,-0.22536986,1.1969324,-0.70090044,0.649201,-0.09399504,0.28116676,0.19338943,0.014300761,0.41083738,0.60341376,0.7356533,0.70587605,0.18307687,0.47901896,0.5208799,0.64381,-0.23130302,NA,-0.7246974,-0.6126103,-0.85879827,-0.6737455,-0.88587505,-0.86286044,-0.08450791,0.640853,0.44800332,1.8628613,0.44801486,-0.49324712,1.3353934,NA,0.32620832,0.79122776,0.7321917,0.6228523,0.67667836,-0.50852776,0.29615584,0.6867859,0.85484064,0.51084375,0.556909,0.42659143,0.24334529,-0.5316156,0.47525918,0.19699778,0.9362872,-0.18785271,0.92990637,-0.1628663,0.31550142,0.87886924,0.45374188,0.6062301,0.82232183,0.22012573
SRR4027119,39.211666,-96.594768,-0.22429977,1.2317072,-0.09379392,-1.6005801,1.477398,-0.55297065,-0.057229653,0.87463623,-2.4466045,2.2060194,-0.6224718,0.22434299,0.55343586,-0.05690497,-0.22536986,1.1969324,-0.70090044,0.649201,-0.09399504,0.28116676,0.19338943,0.014300761,0.41083738,0.60341376,0.7356533,0.70587605,0.18307687,0.47901896,0.5208799,0.64381,-0.23130302,NA,-0.7246974,-0.6126103,-0.85879827,-0.6737455,-0.88587505,-0.86286044,-0.08450791,0.640853,0.44800332,1.8628613,0.44801486,-0.49324712,1.3353934,NA,0.32620832,0.79122776,0.7321917,0.6228523,0.67667836,-0.50852776,0.29615584,0.6867859,0.85484064,0.51084375,0.556909,0.42659143,0.24334529,-0.5316156,0.47525918,0.19699778,0.9362872,-0.18785271,0.92990637,-0.1628663,0.31550142,0.87886924,0.45374188,0.6062301,0.82232183,0.22012573
SRR4027589,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
SRR4027590,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
SRR4027591,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
SRR4027593,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
SRR4027594,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
SRR4027595,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
SRR4027596,39.0042816,-77.1012173,0.06578663,-3.0150266,-1.9510041,-1.7714435,-2.6889584,-1.1505926,-1.8740343,-4.440398,-2.7434957,-2.3668728,-0.80882436,0.032313555,-0.07172655,-0.11996981,-0.27635086,0.8047932,-0.7224308,0.11445078,-0.13138837,0.75666755,0.60954607,0.48915428,-0.101735204,1.3005627,2.341226,0.788844,-0.04115202,0.42157534,0.46402466,0.69621235,-1.2041643,NA,-1.0598174,-0.58920884,-1.0189416,-0.91532433,-0.9735181,-0.97947437,-0.7378457,-0.1967951,-0.20620736,1.8821415,0.8463245,-0.2372518,-0.37629047,NA,-1.9198235,1.4734353,0.9586964,0.69688356,1.4954888,-0.52466124,0.9959178,0.7127624,0.7981344,0.61790854,0.86241955,0.1698623,2.0882447,-1.459139,0.24409302,1.9855705,0.7494968,0.70675635,0.5252411,-0.057230666,-0.025248073,0.79324925,0.6221697,0.086212635,0.79421306,0.34613964
